no_strat_1,no_strat_2,no_strat_3,no_strat_4,coef_1|1|1|1|1|1|1|1|1|1,coef_1|1|1|1|1|1|1|1|2,coef_1|1|1|1|1|1|1|3,coef_1|1|1|1|1|1|2|2,coef_1|1|1|1|1|1|4,coef_1|1|1|1|1|2|3,coef_1|1|1|1|1|5,coef_1|1|1|1|2|2|2,coef_1|1|1|1|2|4,coef_1|1|1|1|3|3,coef_1|1|1|1|6,coef_1|1|1|2|2|3,coef_1|1|1|2|5,coef_1|1|1|3|4,coef_1|1|1|7,coef_1|1|2|2|2|2,coef_1|1|2|2|4,coef_1|1|2|3|3,coef_1|1|2|6,coef_1|1|3|5,coef_1|1|4|4,coef_1|1|8,coef_1|2|2|2|3,coef_1|2|2|5,coef_1|2|3|4,coef_1|2|7,coef_1|3|3|3,coef_1|3|6,coef_1|4|5,coef_1|9,coef_2|2|2|2|2,coef_2|2|2|4,coef_2|2|3|3,coef_2|2|6,coef_2|3|5,coef_2|4|4,coef_2|8,coef_3|3|4,coef_3|7,coef_4|6,coef_5|5,coef_10,pwrs_1|1|1|1|1|1|1|1|1|1,pwrs_1|1|1|1|1|1|1|1|2,pwrs_1|1|1|1|1|1|1|3,pwrs_1|1|1|1|1|1|2|2,pwrs_1|1|1|1|1|1|4,pwrs_1|1|1|1|1|2|3,pwrs_1|1|1|1|1|5,pwrs_1|1|1|1|2|2|2,pwrs_1|1|1|1|2|4,pwrs_1|1|1|1|3|3,pwrs_1|1|1|1|6,pwrs_1|1|1|2|2|3,pwrs_1|1|1|2|5,pwrs_1|1|1|3|4,pwrs_1|1|1|7,pwrs_1|1|2|2|2|2,pwrs_1|1|2|2|4,pwrs_1|1|2|3|3,pwrs_1|1|2|6,pwrs_1|1|3|5,pwrs_1|1|4|4,pwrs_1|1|8,pwrs_1|2|2|2|3,pwrs_1|2|2|5,pwrs_1|2|3|4,pwrs_1|2|7,pwrs_1|3|3|3,pwrs_1|3|6,pwrs_1|4|5,pwrs_1|9,pwrs_2|2|2|2|2,pwrs_2|2|2|4,pwrs_2|2|3|3,pwrs_2|2|6,pwrs_2|3|5,pwrs_2|4|4,pwrs_2|8,pwrs_3|3|4,pwrs_3|7,pwrs_4|6,pwrs_5|5,pwrs_10
1,0,2,7,360,168|8,105,60|12,60,30|5,30,12|12,12|4,12,12,3|6,3|3,3,3,8,4,2,2,,,,3,2,1,1,,,,,,,,,,,,,,,,,1|2|7,1|2|6*1|1|7,1|2|5,1|2|5*1|1|6,1|2|4,1|2|4*1|1|5,1|2|3,1|2|4*1|1|5,1|2|3*1|1|4,1|2|3,1|2|2,1|2|3*1|1|4,1|2|2*1|1|3,1|2|2,1|2|1,1|1|4,1|1|3,1|1|3,1|1|2,,,,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,,,,,,,,,
1,1,4,4,6300,840|840,210|210,30|360|30,30|30,60|60,,36|36,12|12,48,,6|6,,6|6,,12,2|2,,,,4,,,,,,,,,,,,,,,,,,,,,,1|1|4|4,1|1|4|3*1|1|3|4,1|1|4|2*1|1|2|4,1|1|4|2*1|1|3|3*1|1|2|4,1|1|4|1*1|1|1|4,1|1|3|2*1|1|2|3,,1|1|3|2*1|1|2|3,1|1|3|1*1|1|1|3,1|1|2|2,,1|1|2|2*1|1|2|2,,1|1|2|1*1|1|1|2,,1|1|2|2,1|1|2|1*1|1|1|2,,,,1|1|1|1,,,,,,,,,,,,,,,,,,,,,
1,1,3,5,5040,1120|336,420|42,120|240,120,20|60|20,20,72,24,24,,12|6,6,6,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,1|1|3|5,1|1|3|4*1|1|2|5,1|1|3|3*1|1|1|5,1|1|3|3*1|1|2|4,1|1|3|2,1|1|3|2*1|1|2|3*1|1|1|4,1|1|3|1,1|1|2|3,1|1|2|2,1|1|1|3,,1|1|2|2*1|1|1|3,1|1|2|1,1|1|1|2,,,,1|1|1|2,,1|1|1|1,,,,,,,,,,,,,,,,,,,,,,
1,1,2,6,2520,840|56,420,180|60,180,60|20,60,12|36,12|12,12,12,12,6,,,8,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,1|1|2|6,1|1|2|5*1|1|1|6,1|1|2|4,1|1|2|4*1|1|1|5,1|1|2|3,1|1|2|3*1|1|1|4,1|1|2|2,1|1|2|3*1|1|1|4,1|1|2|2*1|1|1|3,1|1|2|2,1|1|2|1,1|1|1|3,1|1|1|2,,,1|1|1|3,1|1|1|2,1|1|1|2,1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,7560,1680|168|168,630,180|120|120|12,180,30|30|30,30,36|36|24,12|12,,,6|6|6,3|3,,,24,4,,,,,,6,2,,,,,,,,,,,,,,,,,,,1|2|2|5,1|2|2|4*1|2|1|5*1|1|2|5,1|2|2|3,1|2|2|3*1|2|1|4*1|1|2|4*1|1|1|5,1|2|2|2,1|2|2|2*1|2|1|3*1|1|2|3,1|2|2|1,1|2|1|3*1|1|2|3*1|1|1|4,1|2|1|2*1|1|2|2,,,1|2|1|2*1|1|2|2*1|1|1|3,1|2|1|1*1|1|2|1,,,1|1|1|3,1|1|1|2,,,,,,1|1|1|2,1|1|1|1,,,,,,,,,,,,,,,,,,
1,3,3,3,16800,1120|1120|1120,140|140|140,240|240|240,,20|20|20|20|20|20,,144,,8|8|8,,12|12|12,,,,,,4|4|4,,,,,,,,,6,,,,,,,,,,,,,,,,1|3|3|3,1|3|3|2*1|3|2|3*1|2|3|3,1|3|3|1*1|3|1|3*1|1|3|3,1|3|2|2*1|2|3|2*1|2|2|3,,1|3|2|1*1|3|1|2*1|2|3|1*1|2|1|3*1|1|3|2*1|1|2|3,,1|2|2|2,,1|3|1|1*1|1|3|1*1|1|1|3,,1|2|2|1*1|2|1|2*1|1|2|2,,,,,,1|2|1|1*1|1|2|1*1|1|1|2,,,,,,,,,1|1|1|1,,,,,,,,,,,,,,,
1,0,0,9,10,8,7,6,6,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1|9,1|8,1|7,1|7,1|6,1|6,1|5,1|6,1|5,1|5,1|4,1|5,1|4,1|4,1|3,1|5,1|4,1|4,1|3,1|3,1|3,1|2,1|4,1|3,1|3,1|2,1|3,1|2,1|2,1|1,,,,,,,,,,,,
1,0,3,6,840,280|56,140|7,60|60,60,20|20|5,20,4|36,4|12,4|8,4,12|3,6,3,,8,4,2|4,2,2,,,1,,1,,3,1,,,,,,,,,,,,,,,1|3|6,1|3|5*1|2|6,1|3|4*1|1|6,1|3|4*1|2|5,1|3|3,1|3|3*1|2|4*1|1|5,1|3|2,1|3|3*1|2|4,1|3|2*1|2|3,1|3|2*1|1|4,1|3|1,1|2|3*1|1|4,1|2|2,1|1|3,,1|2|3,1|2|2,1|2|2*1|1|3,1|2|1,1|1|2,,,1|1|3,,1|1|2,,1|1|2,1|1|1,,,,,,,,,,,,,,
1,2,3,4,12600,1680|840|280,420|105,60|360|120|60,60,60|30|20|5,,36|12|72,12|4,24,,3|12|6,,3,,24,4,4,,,,,3,,1,,,,,,,,,,,,,,,,,,1|2|3|4,1|2|3|3*1|2|2|4*1|1|3|4,1|2|3|2*1|2|1|4,1|2|3|2*1|2|2|3*1|1|3|3*1|1|2|4,1|2|3|1,1|2|2|2*1|2|1|3*1|1|3|2*1|1|1|4,,1|2|2|2*1|1|3|2*1|1|2|3,1|2|2|1*1|1|3|1,1|2|1|2,,1|2|1|2*1|1|2|2*1|1|1|3,,1|2|1|1,,1|1|2|2,1|1|2|1,1|1|1|2,,,,,1|1|1|2,,1|1|1|1,,,,,,,,,,,,,,,,,
1,0,1,8,90,56,42,30,30,20,20,12,12,12,12,6,6,6,6,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,1|1|8,1|1|7,1|1|6,1|1|6,1|1|5,1|1|5,1|1|4,1|1|5,1|1|4,1|1|4,1|1|3,1|1|4,1|1|3,1|1|3,1|1|2,1|1|4,1|1|3,1|1|3,1|1|2,1|1|2,1|1|2,1|1|1,,,,,,,,,,,,,,,,,,,,
