no_strat_1,no_strat_2,no_strat_3,no_strat_4,coef_1|1|1|1|1|1,coef_1|1|1|1|2,coef_1|1|1|3,coef_1|1|2|2,coef_1|1|4,coef_1|2|3,coef_1|5,coef_2|2|2,coef_2|4,coef_3|3,coef_6,pwrs_1|1|1|1|1|1,pwrs_1|1|1|1|2,pwrs_1|1|1|3,pwrs_1|1|2|2,pwrs_1|1|4,pwrs_1|2|3,pwrs_1|5,pwrs_2|2|2,pwrs_2|4,pwrs_3|3,pwrs_6
1,0,1,4,30,12,6,2,2,,,,,,,1|1|4,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,
1,1,1,3,120,24,6,,,,,,,,,1|1|1|3,1|1|1|2,1|1|1|1,,,,,,,,
1,0,2,3,60,12|4,3,4,,1,,,,,,1|2|3,1|2|2*1|1|3,1|2|1,1|1|2,,1|1|1,,,,,
1,0,0,5,6,4,3,2,2,1,1,,,,,1|5,1|4,1|3,1|3,1|2,1|2,1|1,,,,
1,1,2,2,180,12|12,,4,,,,,,,,1|1|2|2,1|1|2|1*1|1|1|2,,1|1|1|1,,,,,,,
2,0,0,4,30,12|2,6,2|4,2,2,,6,2,,,2|4,2|3*1|4,2|2,2|2*1|3,2|1,1|2,,1|2,1|1,,
2,0,1,3,120,24|8,6,8,,2,,,,,,2|1|3,2|1|2*1|1|3,2|1|1,1|1|2,,1|1|1,,,,,
2,0,2,2,180,12|12|12,,4|4|4,,,,12,,,,2|2|2,2|2|1*2|1|2*1|2|2,,2|1|1*1|2|1*1|1|2,,,,1|1|1,,,
2,1,1,2,360,24|24,,8,,,,,,,,2|1|1|2,2|1|1|1*1|1|1|2,,1|1|1|1,,,,,,,
3,0,1,2,180,12|36,9,12,,3,,,,,,3|1|2,3|1|1*2|1|2,1|1|2,2|1|1,,1|1|1,,,,,
3,1,1,1,360,72,18,,,,,,,,,3|1|1|1,2|1|1|1,1|1|1|1,,,,,,,,
3,0,0,3,60,12|12,3|3,12,,3|3,,,,6,,3|3,3|2*2|3,3|1*1|3,2|2,,2|1*1|2,,,,1|1,
4,0,0,2,60,4|24,12,8|4,4,4,,12,4,,,4|2,4|1*3|2,2|2,3|1*2|2,1|2,2|1,,2|1,1|1,,
4,0,1,1,120,48,24,8,8,,,,,,,4|1|1,3|1|1,2|1|1,2|1|1,1|1|1,,,,,,
5,0,0,1,30,20,15,10,10,5,5,,,,,5|1,4|1,3|1,3|1,2|1,2|1,1|1,,,,
6,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,3,3,2,3,2,2,1
