no_strat_1,no_strat_2,no_strat_3,coef_1|1|1|1|1|1|1,coef_1|1|1|1|1|2,coef_1|1|1|1|3,coef_1|1|1|2|2,coef_1|1|1|4,coef_1|1|2|3,coef_1|1|5,coef_1|2|2|2,coef_1|2|4,coef_1|3|3,coef_1|6,coef_2|2|3,coef_2|5,coef_3|4,coef_7,pwrs_1|1|1|1|1|1|1,pwrs_1|1|1|1|1|2,pwrs_1|1|1|1|3,pwrs_1|1|1|2|2,pwrs_1|1|1|4,pwrs_1|1|2|3,pwrs_1|1|5,pwrs_1|2|2|2,pwrs_1|2|4,pwrs_1|3|3,pwrs_1|6,pwrs_2|2|3,pwrs_2|5,pwrs_3|4,pwrs_7
1,1,5,42,20,12,6,6,2,2,,,,,,,,,1|1|5,1|1|4,1|1|3,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,
1,3,3,140,20|20,4|4,12,,2|2,,,,2,,,,,,1|3|3,1|3|2*1|2|3,1|3|1*1|1|3,1|2|2,,1|2|1*1|1|2,,,,1|1|1,,,,,
1,2,4,105,30|5,12,3|6,3,2,,3,1,,,,,,,1|2|4,1|2|3*1|1|4,1|2|2,1|2|2*1|1|3,1|2|1,1|1|2,,1|1|2,1|1|1,,,,,,
1,0,6,7,5,4,3,3,2,2,1,1,1,1,,,,,1|6,1|5,1|4,1|4,1|3,1|3,1|2,1|3,1|2,1|2,1|1,,,,
2,2,3,420,60|20|20,12,12|12|4,,2|2,,12,,,,4,,,,2|2|3,2|2|2*2|1|3*1|2|3,2|2|1,2|1|2*1|2|2*1|1|3,,2|1|1*1|2|1,,1|1|2,,,,1|1|1,,,
2,1,4,210,60|10,24,6|12,6,4,,6,2,,,,,,,2|1|4,2|1|3*1|1|4,2|1|2,2|1|2*1|1|3,2|1|1,1|1|2,,1|1|2,1|1|1,,,,,,
2,0,5,42,20|2,12,6|4,6,2|2,2,6,2,,,4,2,,,2|5,2|4*1|5,2|3,2|3*1|4,2|2,2|2*1|3,2|1,1|3,1|2,,,1|2,1|1,,
3,1,3,420,60|60,12|12,36,,6|6,,,,6,,,,,,3|1|3,3|1|2*2|1|3,3|1|1*1|1|3,2|1|2,,2|1|1*1|1|2,,,,1|1|1,,,,,
3,0,4,105,30|15,12|3,3|18,3,6|3,,9,3,6,,3,,3,,3|4,3|3*2|4,3|2*1|4,3|2*2|3,3|1,2|2*1|3,,2|2,2|1,1|2,,1|2,,1|1,
3,2,2,630,30|30|90,18,6|18|18,,3|3,,18,,,,6,,,,3|2|2,3|2|1*3|1|2*2|2|2,1|2|2,3|1|1*2|2|1*2|1|2,,1|2|1*1|1|2,,2|1|1,,,,1|1|1,,,
4,1,2,420,20|120,48,24|12,12,8,,12,4,,,,,,,4|1|2,4|1|1*3|1|2,2|1|2,3|1|1*2|1|2,1|1|2,2|1|1,,2|1|1,1|1|1,,,,,,
4,0,3,140,20|40,4|16,24|4,4,4|8,,12,4,8,,4,,4,,4|3,4|2*3|3,4|1*2|3,3|2*2|3,1|3,3|1*2|2,,2|2,1|2,2|1,,2|1,,1|1,
5,1,1,210,100,60,30,30,10,10,,,,,,,,,5|1|1,4|1|1,3|1|1,3|1|1,2|1|1,2|1|1,1|1|1,,,,,,,,
5,0,2,105,5|50,30,10|15,15,5|5,5,15,5,,,10,5,,,5|2,5|1*4|2,3|2,4|1*3|2,2|2,3|1*2|2,1|2,3|1,2|1,,,2|1,1|1,,
6,0,1,42,30,24,18,18,12,12,6,6,6,6,,,,,6|1,5|1,4|1,4|1,3|1,3|1,2|1,3|1,2|1,2|1,1|1,,,,
7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,4,4,3,4,3,3,2,3,2,2,1
