no_strat_1,no_strat_2,no_strat_3,no_strat_4,coef_1|1|1|1|1|1|1|1,coef_1|1|1|1|1|1|2,coef_1|1|1|1|1|3,coef_1|1|1|1|2|2,coef_1|1|1|1|4,coef_1|1|1|2|3,coef_1|1|1|5,coef_1|1|2|2|2,coef_1|1|2|4,coef_1|1|3|3,coef_1|1|6,coef_1|2|2|3,coef_1|2|5,coef_1|3|4,coef_1|7,coef_2|2|2|2,coef_2|2|4,coef_2|3|3,coef_2|6,coef_3|5,coef_4|4,coef_8,pwrs_1|1|1|1|1|1|1|1,pwrs_1|1|1|1|1|1|2,pwrs_1|1|1|1|1|3,pwrs_1|1|1|1|2|2,pwrs_1|1|1|1|4,pwrs_1|1|1|2|3,pwrs_1|1|1|5,pwrs_1|1|2|2|2,pwrs_1|1|2|4,pwrs_1|1|3|3,pwrs_1|1|6,pwrs_1|2|2|3,pwrs_1|2|5,pwrs_1|3|4,pwrs_1|7,pwrs_2|2|2|2,pwrs_2|2|4,pwrs_2|3|3,pwrs_2|6,pwrs_3|5,pwrs_4|4,pwrs_8
1,2,2,3,1680,180|60|60,30,24|24|8,,3|3,,12,,,,2,,,,,,,,,,,1|2|2|3,1|2|2|2*1|2|1|3*1|1|2|3,1|2|2|1,1|2|1|2*1|1|2|2*1|1|1|3,,1|2|1|1*1|1|2|1,,1|1|1|2,,,,1|1|1|1,,,,,,,,,,
1,0,0,7,8,6,5,4,4,3,3,2,2,2,2,1,1,1,1,,,,,,,,1|7,1|6,1|5,1|5,1|4,1|4,1|3,1|4,1|3,1|3,1|2,1|3,1|2,1|2,1|1,,,,,,,
1,0,3,4,280,60|30,20|5,4|24,4,6|3,,6,2,4,,1,,1,,,,,,,,,1|3|4,1|3|3*1|2|4,1|3|2*1|1|4,1|3|2*1|2|3,1|3|1,1|2|2*1|1|3,,1|2|2,1|2|1,1|1|2,,1|1|2,,1|1|1,,,,,,,,
1,0,1,6,56,30,20,12,12,6,6,2,2,2,2,,,,,,,,,,,,1|1|6,1|1|5,1|1|4,1|1|4,1|1|3,1|1|3,1|1|2,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,,,,
1,1,1,5,336,120,60,24,24,6,6,,,,,,,,,,,,,,,,1|1|1|5,1|1|1|4,1|1|1|3,1|1|1|3,1|1|1|2,1|1|1|2,1|1|1|1,,,,,,,,,,,,,,,
1,1,3,3,1120,120|120,20|20,48,,6|6,,,,4,,,,,,,,,,,,,1|1|3|3,1|1|3|2*1|1|2|3,1|1|3|1*1|1|1|3,1|1|2|2,,1|1|2|1*1|1|1|2,,,,1|1|1|1,,,,,,,,,,,,
1,0,2,5,168,60|6,30,12|8,12,3|3,3,6,2,,,2,1,,,,,,,,,,1|2|5,1|2|4*1|1|5,1|2|3,1|2|3*1|1|4,1|2|2,1|2|2*1|1|3,1|2|1,1|1|3,1|1|2,,,1|1|2,1|1|1,,,,,,,,,
1,1,2,4,840,180|30,60,12|24,12,6,,6,2,,,,,,,,,,,,,,1|1|2|4,1|1|2|3*1|1|1|4,1|1|2|2,1|1|2|2*1|1|1|3,1|1|2|1,1|1|1|2,,1|1|1|2,1|1|1|1,,,,,,,,,,,,,
2,0,2,4,840,180|30|30,60,12|24|24|4,12,6|6,,6|6|12,2|2,,,4,,,,24,4,,,,,,2|2|4,2|2|3*2|1|4*1|2|4,2|2|2,2|2|2*2|1|3*1|2|3*1|1|4,2|2|1,2|1|2*1|2|2,,2|1|2*1|2|2*1|1|3,2|1|1*1|2|1,,,1|1|2,,,,1|1|2,1|1|1,,,,,
2,2,2,2,5040,180|180|180|180,,24|24|24|24|24|24,,,,12|12|12|12,,,,,,,,48,,,,,,,2|2|2|2,2|2|2|1*2|2|1|2*2|1|2|2*1|2|2|2,,2|2|1|1*2|1|2|1*2|1|1|2*1|2|2|1*1|2|1|2*1|1|2|2,,,,2|1|1|1*1|2|1|1*1|1|2|1*1|1|1|2,,,,,,,,1|1|1|1,,,,,,
2,0,0,6,56,30|2,20,12|4,12,6|2,6,2|6,2|2,2,2,4,2,,,8,4,2,2,,,,2|6,2|5*1|6,2|4,2|4*1|5,2|3,2|3*1|4,2|2,2|3*1|4,2|2*1|3,2|2,2|1,1|3,1|2,,,1|3,1|2,1|2,1|1,,,
2,1,2,3,3360,360|120|120,60,48|48|16,,6|6,,24,,,,4,,,,,,,,,,,2|1|2|3,2|1|2|2*2|1|1|3*1|1|2|3,2|1|2|1,2|1|1|2*1|1|2|2*1|1|1|3,,2|1|1|1*1|1|2|1,,1|1|1|2,,,,1|1|1|1,,,,,,,,,,
2,0,3,3,1120,120|120|40,20|20,48|16|16,,6|6|2|2,,24,,4,,4|4,,,,,,4,,,,,2|3|3,2|3|2*2|2|3*1|3|3,2|3|1*2|1|3,2|2|2*1|3|2*1|2|3,,2|2|1*2|1|2*1|3|1*1|1|3,,1|2|2,,2|1|1,,1|2|1*1|1|2,,,,,,1|1|1,,,,
