no_strat_1,no_strat_2,no_strat_3,coef_1|1|1|1|1|1|1|1|1,coef_1|1|1|1|1|1|1|2,coef_1|1|1|1|1|1|3,coef_1|1|1|1|1|2|2,coef_1|1|1|1|1|4,coef_1|1|1|1|2|3,coef_1|1|1|1|5,coef_1|1|1|2|2|2,coef_1|1|1|2|4,coef_1|1|1|3|3,coef_1|1|1|6,coef_1|1|2|2|3,coef_1|1|2|5,coef_1|1|3|4,coef_1|1|7,coef_1|2|2|2|2,coef_1|2|2|4,coef_1|2|3|3,coef_1|2|6,coef_1|3|5,coef_1|4|4,coef_1|8,coef_2|2|2|3,coef_2|2|5,coef_2|3|4,coef_2|7,coef_3|3|3,coef_3|6,coef_4|5,coef_9,pwrs_1|1|1|1|1|1|1|1|1,pwrs_1|1|1|1|1|1|1|2,pwrs_1|1|1|1|1|1|3,pwrs_1|1|1|1|1|2|2,pwrs_1|1|1|1|1|4,pwrs_1|1|1|1|2|3,pwrs_1|1|1|1|5,pwrs_1|1|1|2|2|2,pwrs_1|1|1|2|4,pwrs_1|1|1|3|3,pwrs_1|1|1|6,pwrs_1|1|2|2|3,pwrs_1|1|2|5,pwrs_1|1|3|4,pwrs_1|1|7,pwrs_1|2|2|2|2,pwrs_1|2|2|4,pwrs_1|2|3|3,pwrs_1|2|6,pwrs_1|3|5,pwrs_1|4|4,pwrs_1|8,pwrs_2|2|2|3,pwrs_2|2|5,pwrs_2|3|4,pwrs_2|7,pwrs_3|3|3,pwrs_3|6,pwrs_4|5,pwrs_9
1,4,4,630,105|105,30|30,5|60|5,5|5,12|12,,9|9,3|3,12,,2|2,,2|2,,6,1|1,,,,2,,,,,,,,,,1|4|4,1|4|3*1|3|4,1|4|2*1|2|4,1|4|2*1|3|3*1|2|4,1|4|1*1|1|4,1|3|2*1|2|3,,1|3|2*1|2|3,1|3|1*1|1|3,1|2|2,,1|2|2*1|2|2,,1|2|1*1|1|2,,1|2|2,1|2|1*1|1|2,,,,1|1|1,,,,,,,,,
1,1,7,72,42,30,20,20,12,12,6,6,6,6,2,2,2,2,,,,,,,,,,,,,,,,1|1|7,1|1|6,1|1|5,1|1|5,1|1|4,1|1|4,1|1|3,1|1|4,1|1|3,1|1|3,1|1|2,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,,,,,,,,
1,2,6,252,105|7,60,30|10,30,12|4,12,3|9,3|3,3,3,4,2,,,4,2,1,1,,,,,,,,,,,,1|2|6,1|2|5*1|1|6,1|2|4,1|2|4*1|1|5,1|2|3,1|2|3*1|1|4,1|2|2,1|2|3*1|1|4,1|2|2*1|1|3,1|2|2,1|2|1,1|1|3,1|1|2,,,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,,,,
1,0,8,9,7,6,5,5,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,1|8,1|7,1|6,1|6,1|5,1|5,1|4,1|5,1|4,1|4,1|3,1|4,1|3,1|3,1|2,1|4,1|3,1|3,1|2,1|2,1|2,1|1,,,,,,,,
1,3,5,504,140|42,60|6,20|40,20,4|12|4,4,18,6,6,,4|2,2,2,,,,2,,1,,,,,,,,,,,1|3|5,1|3|4*1|2|5,1|3|3*1|1|5,1|3|3*1|2|4,1|3|2,1|3|2*1|2|3*1|1|4,1|3|1,1|2|3,1|2|2,1|1|3,,1|2|2*1|1|3,1|2|1,1|1|2,,,,1|1|2,,1|1|1,,,,,,,,,,
2,0,7,72,42|2,30,20|4,20,12|2,12,6|6,6|2,6,6,2|4,2|2,2,2,8,4,2,2,,,,6,4,2,2,,,,,2|7,2|6*1|7,2|5,2|5*1|6,2|4,2|4*1|5,2|3,2|4*1|5,2|3*1|4,2|3,2|2,2|3*1|4,2|2*1|3,2|2,2|1,1|4,1|3,1|3,1|2,,,,1|3,1|2,1|2,1|1,,,,
2,1,6,504,210|14,120,60|20,60,24|8,24,6|18,6|6,6,6,8,4,,,8,4,2,2,,,,,,,,,,,,2|1|6,2|1|5*1|1|6,2|1|4,2|1|4*1|1|5,2|1|3,2|1|3*1|1|4,2|1|2,2|1|3*1|1|4,2|1|2*1|1|3,2|1|2,2|1|1,1|1|3,1|1|2,,,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,,,,
2,2,5,1512,420|42|42,180,60|40|40|4,60,12|12|12,12,18|18|12,6|6,,,4|4|4,2|2,,,24,4,,,,,,12,4,,,,,,,2|2|5,2|2|4*2|1|5*1|2|5,2|2|3,2|2|3*2|1|4*1|2|4*1|1|5,2|2|2,2|2|2*2|1|3*1|2|3,2|2|1,2|1|3*1|2|3*1|1|4,2|1|2*1|2|2,,,2|1|2*1|2|2*1|1|3,2|1|1*1|2|1,,,1|1|3,1|1|2,,,,,,1|1|2,1|1|1,,,,,,
2,3,4,2520,420|210|70,120|30,20|120|40|20,20,24|12|8|2,,18|6|36,6|2,12,,2|8|4,,2,,24,4,4,,,,,6,,2,,,,,,2|3|4,2|3|3*2|2|4*1|3|4,2|3|2*2|1|4,2|3|2*2|2|3*1|3|3*1|2|4,2|3|1,2|2|2*2|1|3*1|3|2*1|1|4,,2|2|2*1|3|2*1|2|3,2|2|1*1|3|1,2|1|2,,2|1|2*1|2|2*1|1|3,,2|1|1,,1|2|2,1|2|1,1|1|2,,,,,1|1|2,,1|1|1,,,,,
3,1,5,1512,420|126,180|18,60|120,60,12|36|12,12,54,18,18,,12|6,6,6,,,,6,,3,,,,,,,,,,,3|1|5,3|1|4*2|1|5,3|1|3*1|1|5,3|1|3*2|1|4,3|1|2,3|1|2*2|1|3*1|1|4,3|1|1,2|1|3,2|1|2,1|1|3,,2|1|2*1|1|3,2|1|1,1|1|2,,,,1|1|2,,1|1|1,,,,,,,,,,
3,3,3,5040,420|420|420,60|60|60,120|120|120,,12|12|12|12|12|12,,108,,6|6|6,,12|12|12,,,,,,6|6|6,,,,,,,,,18,,,,3|3|3,3|3|2*3|2|3*2|3|3,3|3|1*3|1|3*1|3|3,3|2|2*2|3|2*2|2|3,,3|2|1*3|1|2*2|3|1*2|1|3*1|3|2*1|2|3,,2|2|2,,3|1|1*1|3|1*1|1|3,,2|2|1*2|1|2*1|2|2,,,,,,2|1|1*1|2|1*1|1|2,,,,,,,,,1|1|1,,,
3,2,4,3780,630|105|315,180|45,30|60|180|30,30,12|36|18|3,,9|27|54,3|9,18,,12|3|6,,3,,36,6,6,,,,,9,,3,,,,,,3|2|4,3|2|3*3|1|4*2|2|4,3|2|2*1|2|4,3|2|2*3|1|3*2|2|3*2|1|4,3|2|1,3|1|2*2|2|2*1|2|3*1|1|4,,3|1|2*2|2|2*2|1|3,3|1|1*2|2|1,1|2|2,,2|1|2*1|2|2*1|1|3,,1|2|1,,2|1|2,2|1|1,1|1|2,,,,,1|1|2,,1|1|1,,,,,
3,0,6,252,105|21,60|3,30|30,30,12|12|3,12,3|27,3|9,3|6,3,12|3,6,3,,12,6,3|6,3,3,,,3,,3,,9,3,,,3|6,3|5*2|6,3|4*1|6,3|4*2|5,3|3,3|3*2|4*1|5,3|2,3|3*2|4,3|2*2|3,3|2*1|4,3|1,2|3*1|4,2|2,1|3,,2|3,2|2,2|2*1|3,2|1,1|2,,,1|3,,1|2,,1|2,1|1,,
4,2,3,5040,420|140|840,60|240,40|240|80|40,40,4|24|48|16,,72|36|12,12|4,24,,8|16|4,,4,,48,8,8,,,,,12,,4,,,,,,4|2|3,4|2|2*4|1|3*3|2|3,4|2|1*2|2|3,4|1|2*3|2|2*3|1|3*2|2|3,1|2|3,4|1|1*3|2|1*2|2|2*2|1|3,,3|1|2*2|2|2*2|1|3,1|2|2*1|1|3,2|2|1,,3|1|1*2|1|2*2|2|1,,1|2|1,,2|1|2,1|1|2,2|1|1,,,,,2|1|1,,1|1|1,,,,,
4,1,4,2520,420|420,120|120,20|240|20,20|20,48|48,,36|36,12|12,48,,8|8,,8|8,,24,4|4,,,,8,,,,,,,,,,4|1|4,4|1|3*3|1|4,4|1|2*2|1|4,4|1|2*3|1|3*2|1|4,4|1|1*1|1|4,3|1|2*2|1|3,,3|1|2*2|1|3,3|1|1*1|1|3,2|1|2,,2|1|2*2|1|2,,2|1|1*1|1|2,,2|1|2,2|1|1*1|1|2,,,,1|1|1,,,,,,,,,
4,0,5,504,140|84,60|24,20|80|4,20|4,4|24|16,4,36|12,12|4,24,,8|8|4,4,8|4,,24,4|4,8,,4,8,,12,4,4,,,,4,,4|5,4|4*3|5,4|3*2|5,4|3*3|4*2|5,4|2*1|5,4|2*3|3*2|4,4|1,3|3*2|4,3|2*1|4,2|3,,3|2*2|3*2|3,3|1,2|2*1|3,,2|3,2|2*1|3,2|2,,2|1,1|2,,2|2,2|1,1|2,,,,1|1,
5,1,3,2520,210|700,30|300,200|100,100,20|60|20,20,90,30,30,,10|20,10,10,,,,10,,5,,,,,,,,,,,5|1|3,5|1|2*4|1|3,5|1|1*3|1|3,4|1|2*3|1|3,2|1|3,4|1|1*3|1|2*2|1|3,1|1|3,3|1|2,2|1|2,3|1|1,,3|1|1*2|1|2,1|1|2,2|1|1,,,,2|1|1,,1|1|1,,,,,,,,,,
5,0,4,630,105|175,30|75,5|100|25,5|25,20|30|5,5,15|45,5|15,30,,5|10|10,5,5|10,,30,5|5,10,,5,10,,15,5,5,,,,5,,5|4,5|3*4|4,5|2*3|4,5|2*4|3*3|4,5|1*2|4,4|2*3|3*2|4,1|4,4|2*3|3,4|1*2|3,3|2,,3|2*3|2*2|3,1|3,3|1*2|2,,3|2,3|1*2|2,2|2,,1|2,2|1,,2|2,1|2,2|1,,,,1|1,
5,2,2,3780,105|105|1050,450,10|100|100|150,150,30|30|30,30,30|45|45,15|15,,,10|10|10,5|5,,,60,10,,,,,,30,10,,,,,,,5|2|2,5|2|1*5|1|2*4|2|2,3|2|2,5|1|1*4|2|1*4|1|2*3|2|2,2|2|2,3|2|1*3|1|2*2|2|2,1|2|2,4|1|1*3|2|1*3|1|2,2|2|1*2|1|2,,,3|1|1*2|2|1*2|1|2,1|2|1*1|1|2,,,3|1|1,2|1|1,,,,,,2|1|1,1|1|1,,,,,,
6,1,2,1512,42|630,360,60|180,180,24|72,72,54|18,18|18,18,18,24,12,,,24,12,6,6,,,,,,,,,,,,6|1|2,6|1|1*5|1|2,4|1|2,5|1|1*4|1|2,3|1|2,4|1|1*3|1|2,2|1|2,4|1|1*3|1|2,3|1|1*2|1|2,2|1|2,1|1|2,3|1|1,2|1|1,,,3|1|1,2|1|1,2|1|1,1|1|1,,,,,,,,,,,
6,0,3,504,42|210,6|120,60|60,60,6|24|24,24,54|6,18|6,12|6,6,6|24,12,6,,24,12,12|6,6,6,,,6,,6,,18,6,,,6|3,6|2*5|3,6|1*4|3,5|2*4|3,3|3,5|1*4|2*3|3,2|3,4|2*3|3,3|2*2|3,4|1*2|3,1|3,4|1*3|2,2|2,3|1,,3|2,2|2,3|1*2|2,1|2,2|1,,,3|1,,2|1,,2|1,1|1,,
7,1,1,504,294,210,140,140,84,84,42,42,42,42,14,14,14,14,,,,,,,,,,,,,,,,7|1|1,6|1|1,5|1|1,5|1|1,4|1|1,4|1|1,3|1|1,4|1|1,3|1|1,3|1|1,2|1|1,3|1|1,2|1|1,2|1|1,1|1|1,,,,,,,,,,,,,,,
7,0,2,252,7|147,105,14|70,70,7|42,42,21|21,7|21,21,21,14|7,7|7,7,7,28,14,7,7,,,,21,14,7,7,,,,,7|2,7|1*6|2,5|2,6|1*5|2,4|2,5|1*4|2,3|2,5|1*4|2,4|1*3|2,3|2,2|2,4|1*3|2,3|1*2|2,2|2,1|2,4|1,3|1,3|1,2|1,,,,3|1,2|1,2|1,1|1,,,,
8,0,1,72,56,48,40,40,32,32,24,24,24,24,16,16,16,16,8,8,8,8,8,8,8,,,,,,,,,8|1,7|1,6|1,6|1,5|1,5|1,4|1,5|1,4|1,4|1,3|1,4|1,3|1,3|1,2|1,4|1,3|1,3|1,2|1,2|1,2|1,1|1,,,,,,,,
9,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,6,6,5,6,5,5,4,5,4,4,3,5,4,4,3,3,3,2,4,3,3,2,3,2,2,1
