p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.02,-0.02,-0.24101801311200788
0.753896877474502,0.2461031225247637,0.0,0.0,unstable,,,,
0.6834246137502189,0.26851811971989203,0.04805726652988534,0.0,unstable,,,,
0.4687714829361521,0.45058614390007806,0.08064237316502786,0.0,unstable,,,,
0.0,0.0,0.0,1.0,na,0.21986093681169272,0.1998609368116927,0.1998609368116927,
0.3707811002910889,0.6292188997159848,0.0,0.0,stable,,,-0.03783521775480958,-0.13909207431108295
0.0,0.0,1.0,0.0,na,0.02,-0.15063625819500492,,-0.2210180131120079
0.0,1.0,0.0,0.0,na,0.17625000000000002,,-0.036024833772874854,0.14544352695682472
0.0,0.8481964528349056,0.1518035471065885,0.0,unstable,,,,
0.0,0.8225348169257123,0.0,0.1774651829381827,stable,0.1249939713721887,,0.051687905326456174,
