p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,,,
0.8732784857199734,0.1267215146902433,0.0,0.0,unstable,,,,
0.5129192170211846,0.0,0.0,0.487080782991715,unstable,,,,
0.24824622056183293,0.7517537794381588,0.0,0.0,stable,,,-1.592720931667269,-0.9759771428571543
0.3861977024666754,0.12672151452306893,0.0,0.4870807830946379,unstable,,,,
0.3367328051440303,0.0,0.0,0.6632671948559697,stable,,-0.08370323809523805,-0.10000000000000009,
0.0,0.690027467084218,0.3099725329157908,0.0,unstable,,,,
0.012999119820264303,0.11380482403780069,0.4532940444730413,0.4199020116688938,unstable,,,,
0.2100112905949872,0.1267215145496199,0.0,0.6632671948559514,unstable,,,,
0.0,0.0,1.0,0.0,na,,,,
0.0,0.0,0.5669873566264093,0.43301264337366163,unstable,,,,
0.0,1.0,0.0,0.0,na,,,,
0.0,0.0,0.0,1.0,na,,,,
0.0,0.37829537987777145,0.39571445485662105,0.2259901652656095,unstable,,,,
0.0,0.11502313837340741,0.46838290214777123,0.41659395947880923,unstable,,,,
0.0,0.0,0.2862222335286612,0.7137777664719864,stable,0.1000000000051553,0.040407581344609644,,
