idx_omit,s1,s2,s3
0,1.0,0.0,0.0
0,0.5807592490891182,0.419240750907451,0.0
0,0.0,0.12623067415808167,0.8737693258419378
0,0.0,0.0,1.0
0,0.0,0.7197429284010395,0.28025707159615465
0,0.0,1.0,0.0
1,1.0,0.0,0.0
1,0.6769986273454995,0.0,0.3230013726543838
1,0.0,1.0,0.0
1,0.0,0.7197429284004438,0.2802570715995624
1,0.0,0.0,1.0
1,0.16456750039238285,0.0,0.8354324996082394
1,0.0,0.12623067416674116,0.8737693258324054
2,1.0,0.0,0.0
2,0.6769986273454994,0.0,0.3230013726543838
2,0.0,1.0,0.0
2,0.07298574926036867,0.9270142507430604,0.0
2,0.0,0.0,1.0
2,0.1645675003923767,0.0,0.8354324996082385
3,1.0,0.0,0.0
3,0.0,1.0,0.0
3,0.0,0.0,1.0
3,0.07298574926036867,0.9270142507430604,0.0
3,0.0,0.5807592490722423,0.41924075090140045
