p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.016804953681065875,-0.020000000000000066,-0.21264384986454557
0.8683024769027468,0.1316975230972536,0.0,0.0,unstable,,,,
0.0,0.0,0.0,1.0,na,0.16056875448251862,0.14544131771861424,0.14056875448251216,
0.29045252413849076,0.0,0.0,0.7095474758620953,stable,,-0.015022481454922798,-0.02000000000008173,
0.5438839584791952,0.0,0.0,0.4561160413023511,unstable,,,,
0.45018229814554306,0.09419273333205709,0.0,0.4556249685223934,unstable,,,,
0.289672892468064,0.7103271075318857,0.0,0.0,stable,,,-0.09534990658811154,-0.08833529845456678
0.9999739017508379,0.0,0.0,0.0,na,,-0.01680188386234664,-0.019996346531174748,-0.21260500548072675
0.036035765019340575,0.06315792146630138,0.48880831360593013,0.4119979999084299,unstable,,,,
0.0,0.0,0.5997993925558162,0.40020060743790004,unstable,,,,
0.013587940217967205,0.34457247472276803,0.42264470416941174,0.21919488088985284,unstable,,,,
0.0,0.0,1.0,0.0,na,0.020000000000000066,-0.14172345015239043,,-0.1926438498645455
0.0,0.3218529474821926,0.44232483991405386,0.2358222125813475,unstable,,,,
0.2003435130956791,0.09007855089060643,0.0,0.7095779360136163,unstable,,,,
0.0,0.0678844115852412,0.5266522902924723,0.40546329751314525,unstable,,,,
0.0,1.0,0.0,0.0,na,0.15086745479397257,,-0.08876448620053867,0.1464896414903466
0.0,0.8511235780347947,0.0,0.14887642196502612,stable,0.06003154223945695,,-0.032851222860419305,
0.0,0.697213380532167,0.3027866194239991,0.0,unstable,,,,
0.0,0.0,0.23815842877862528,0.7618415712213751,stable,0.020000000000000018,0.025269029427870682,,
